# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	
171000          4          2	 2	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	
172000          4          2	 2	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	
173000          4          2	 2	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	
174000          4          2	 2	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	
175000          4          2	 2	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	
176000          4          2	 2	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	
177000          4          2	 2	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	
178000          4          2	 2	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	
179000          4          2	 2	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C49H58O8N2	C30H38O4N2	
180000          3          3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C49H58O8N2	C30H38O4N2	
181000          3          3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C49H58O8N2	C30H38O4N2	
182000          3          3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C49H58O8N2	C30H38O4N2	
183000          3          3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
184000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
185000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C49H58O8N2	C30H38O4N2	
186000          3          3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
187000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
188000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
189000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C49H58O8N2	C30H38O4N2	
190000          3          3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
191000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C49H58O8N2	C30H38O4N2	
192000          3          3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C49H58O8N2	C30H38O4N2	
193000          3          3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C49H58O8N2	C30H38O4N2	
194000          3          3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C49H58O8N2	C30H38O4N2	
195000          3          3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C49H58O8N2	C30H38O4N2	
196000          3          3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C49H58O8N2	C30H38O4N2	
197000          3          3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C49H58O8N2	C30H38O4N2	
198000          3          3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C49H58O8N2	C30H38O4N2	
199000          3          3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C49H58O8N2	C30H38O4N2	
200000          3          3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C49H58O8N2	C30H38O4N2	
201000          3          3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
202000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
203000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
204000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
205000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
206000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
207000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
208000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
209000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
210000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
211000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
212000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
213000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
214000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
215000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
216000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
217000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
218000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
219000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
220000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
221000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
222000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
223000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
224000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
225000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
226000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
227000          2          2	 1	 1	
